Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
Zon Bow	100	1	1	1	29	5				3	300	skilltab	0	1	1	dmg%		40	40	swing1		10	10		armo	weap											0	0
Zon Bow	100	1	1	40	44	30				2	300	skilltab	0	2	2	dmg%		50	50	swing2		20	20		armo	weap											0	0
Zon Bow	100	1	1	60		45				1	300	skilltab	0	3	3	dmg%		65	65	swing3		30	30		armo	weap											0	0
PNM Gloves	100	1	1	1	29	5				3	301	skilltab	1	1	1	swing1		10	10	mag%		10	10		armo	weap											0	0
PNM Gloves	100	1	1	40	44	30				2	301	skilltab	1	2	2	swing2		20	20	mag%		20	20		armo	weap											0	0
PNM Gloves	100	1	1	60		45				1	301	skilltab	1	3	3	swing3		30	30	mag%		30	30		armo	weap											0	0
Zon Spear	100	1	1	1	29	5				3	302	skilltab	2	1	1	dmg%		40	40	hit-skill-splash	MeleeSplashDmg	100	1		armo	weap											0	0
Zon Spear	100	1	1	40	44	30				2	302	skilltab	2	2	2	dmg%		50	50	hit-skill-splash	MeleeSplashDmg	100	1		armo	weap											0	0
Zon Spear	100	1	1	60		45				1	302	skilltab	2	3	3	dmg%		65	65	hit-skill-splash	MeleeSplashDmg	100	1		armo	weap											0	0
Zon Java	100	1	1	1	29	5				3	303	skilltab	2	1	1	rep-quant	60			hit-skill-splash	MeleeSplashDmg	100	1		armo	weap											0	0
Zon Java	100	1	1	40	44	30				2	303	skilltab	2	2	2	rep-quant	60			hit-skill-splash	MeleeSplashDmg	100	1		armo	weap											0	0
Zon Java	100	1	1	60		45				1	303	skilltab	2	3	3	rep-quant	60			hit-skill-splash	MeleeSplashDmg	100	1		armo	weap											0	0
Trap Claws	100	1	1	1	29	5				3	304	skilltab	18	1	1	swing1		10	10	dmg%		10	10		armo	weap											0	0
Trap Claws	100	1	1	40	44	30				2	304	skilltab	18	2	2	swing2		20	20	dmg%		20	20		armo	weap											0	0
Trap Claws	100	1	1	60		45				1	304	skilltab	18	3	3	swing3		30	30	dmg%		30	30		armo	weap											0	0
Martial Claws	100	1	1	1	29	5				3	305	skilltab	20	1	1	swing1		10	10	dmg%		10	10		armo	weap											0	0
Martial Claws	100	1	1	40	44	30				2	305	skilltab	20	2	2	swing2		20	20	dmg%		20	20		armo	weap											0	0
Martial Claws	100	1	1	60		45				1	305	skilltab	20	3	3	swing3		30	30	dmg%		30	30		armo	weap											0	0
Shadow Gloves	100	1	1	1	29	5				3	306	skilltab	19	1	1	cast1		10	10	mag%		10	10		armo	weap											0	0
Shadow Gloves	100	1	1	40	44	30				2	306	skilltab	19	2	2	cast2		20	20	mag%		20	20		armo	weap											0	0
Shadow Gloves	100	1	1	60		45				1	306	skilltab	19	3	3	cast3		30	30	mag%		30	30		armo	weap											0	0
Fire Orb	100	1	1	1	29	5				3	307	skilltab	3	1	1	cast1		10	10	mag%		10	10		armo	weap											0	0
Fire Orb	100	1	1	40	44	30				2	307	skilltab	3	2	2	cast2		20	20	mag%		20	20		armo	weap											0	0
Fire Orb	100	1	1	60		45				1	307	skilltab	3	3	3	cast3		30	30	mag%		30	30		armo	weap											0	0
Cold Orb	100	1	1	1	29	5				3	308	skilltab	5	1	1	cast1		10	10	mag%		10	10		armo	weap											0	0
Cold Orb	100	1	1	40	44	30				2	308	skilltab	5	2	2	cast2		20	20	mag%		20	20		armo	weap											0	0
Cold Orb	100	1	1	60		45				1	308	skilltab	5	3	3	cast3		30	30	mag%		30	30		armo	weap											0	0
Lite Orb	100	1	1	1	29	5				3	309	skilltab	4	1	1	cast1		10	10	mag%		10	10		armo	weap											0	0
Lite Orb	100	1	1	40	44	30				2	309	skilltab	4	2	2	cast2		20	20	mag%		20	20		armo	weap											0	0
Lite Orb	100	1	1	60		45				1	309	skilltab	4	3	3	cast3		30	30	mag%		30	30		armo	weap											0	0
War Cry Helm	100	1	1	1	29	5				3	310	skilltab	14	1	1	cast1		10	10	mag%		10	10		armo	weap											0	0
War Cry Helm	100	1	1	40	44	30				2	310	skilltab	14	2	2	cast2		20	20	mag%		20	20		armo	weap											0	0
War Cry Helm	100	1	1	60		45				1	310	skilltab	14	3	3	cast3		30	30	mag%		30	30		armo	weap											0	0
Phys Helm	100	1	1	1	29	5				3	311	skilltab	12	1	1	dmg%		40	40	ac%		10	10		armo	weap											0	0
Phys Helm	100	1	1	40	44	30				2	311	skilltab	12	2	2	dmg%		50	50	ac%		20	20		armo	weap											0	0
Phys Helm	100	1	1	60		45				1	311	skilltab	12	3	3	dmg%		65	65	ac%		30	30		armo	weap											0	0
Mastery Helm	100	1	1	1	29	5				3	312	skilltab	13	1	1	mag%		10	10	mag%		10	10		armo	weap											0	0
Mastery Helm	100	1	1	40	44	30				2	312	skilltab	13	2	2	mag%		20	20	mag%		20	20		armo	weap											0	0
Mastery Helm	100	1	1	60		45				1	312	skilltab	13	3	3	mag%		30	30	mag%		30	30		armo	weap											0	0
PNB Wand	100	1	1	1	29	5				3	313	skilltab	7	1	1	cast1		10	10	mag%		10	10		armo	weap											0	0
PNB Wand	100	1	1	40	44	30				2	313	skilltab	7	2	2	cast2		20	20	mag%		20	20		armo	weap											0	0
PNB Wand	100	1	1	60		45				1	313	skilltab	7	3	3	cast3		30	30	mag%		30	30		armo	weap											0	0
Curse Wand	100	1	1	1	29	5				3	314	skilltab	6	1	1	cast1		10	10	mag%		10	10		armo	weap											0	0
Curse Wand	100	1	1	40	44	30				2	314	skilltab	6	2	2	cast2		20	20	mag%		20	20		armo	weap											0	0
Curse Wand	100	1	1	60		45				1	314	skilltab	6	3	3	cast3		30	30	mag%		30	30		armo	weap											0	0
Summoning Wand	100	1	1	1	29	5				3	315	skilltab	8	1	1	cast1		10	10	mag%		10	10		armo	weap											0	0
Summoning Wand	100	1	1	40	44	30				2	315	skilltab	8	2	2	cast2		20	20	mag%		20	20		armo	weap											0	0
Summoning Wand	100	1	1	60		45				1	315	skilltab	8	3	3	cast3		30	30	mag%		30	30		armo	weap											0	0
Ele Pelt	100	1	1	1	29	5				3	316	skilltab	17	1	1	cast1		10	10	mag%		10	10		armo	weap											0	0
Ele Pelt	100	1	1	40	44	30				2	316	skilltab	17	2	2	cast2		20	20	mag%		20	20		armo	weap											0	0
Ele Pelt	100	1	1	60		45				1	316	skilltab	17	3	3	cast3		30	30	mag%		30	30		armo	weap											0	0
SS Pelt	100	1	1	1	29	5				3	317	skilltab	16	1	1	dmg%		40	40	ac%		10	10		armo	weap											0	0
SS Pelt	100	1	1	40	44	30				2	317	skilltab	16	2	2	dmg%		50	50	ac%		20	20		armo	weap											0	0
SS Pelt	100	1	1	60		45				1	317	skilltab	16	3	3	dmg%		65	65	ac%		30	30		armo	weap											0	0
Summoning Pelt	100	1	1	1	29	5				3	318	skilltab	15	1	1	cast1		10	10	mag%		10	10		armo	weap											0	0
Summoning Pelt	100	1	1	40	44	30				2	318	skilltab	15	2	2	cast2		20	20	mag%		20	20		armo	weap											0	0
Summoning Pelt	100	1	1	60		45				1	318	skilltab	15	3	3	cast3		30	30	mag%		30	30		armo	weap											0	0
