Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
Sturdy	0	1	1	4	5	3				0	101	ac%		20	30										armo												0	0
Strong	0	1	1	9	13	6				0	101	ac%		31	40										armo												0	0
Glorious	0	1	1	19	17	14				0	101	ac%		41	50										armo												0	0
Blessed	0	1	1	25	22	18				0	101	ac%		51	65										armo												0	0
Saintly	0	1	1	31	26	23				0	101	ac%		66	80									dgld	armo												0	0
Holy	0	1	1	36		27				0	101	ac%		81	100									dgld	armo												0	0
Devious	0	1	1	7	9	5				0	103	red-mag		1	1									dblu	shld												0	0
Fortified	0	1	1	14		10				0	103	red-mag		2	2									dblu	shld												0	0
Jagged	0	1	1	1	2	1				0	106	dmg%		10	20										weap							staf	wand	orb			0	0
Deadly	0	1	1	5	5	3				0	106	dmg%		21	30										weap							staf	wand	orb			0	0
Vicious	0	1	1	8	9	6				0	106	dmg%		31	40										weap							staf	wand	orb			0	0
Brutal	0	1	1	14	14	10				0	106	dmg%		41	50										weap							staf	wand	orb			0	0
Massive	0	1	1	20	18	15				0	106	dmg%		51	65									dgld	weap							staf	wand	orb			0	0
Savage	0	1	1	26	23	19				0	106	dmg%		66	80									dgld	weap							staf	wand	orb			0	0
Merciless	0	1	1	32		24				0	106	dmg%		81	100									dgld	weap							staf	wand	orb			0	0
Vulpine	0	1	1	9		6				0	107	dmg-to-mana		10	10									cblu	shld	amul	ring										0	0
Tireless	0	1	1	14		10				0	109	regen-stam		50	50										boot												0	0
Rugged	0	1	1	14		10				0	110	stam		5	10										boot												0	0
Bronze	0	1	1	1		1				0	111	att		10	20										weap	ring	glov	amul				staf	wand	orb			0	0
Iron	0	1	1	4	5	3				0	111	att		21	40										weap	ring						staf	wand	orb			0	0
Steel	0	1	1	8	8	6				0	111	att		41	60										weap	ring						staf	wand	orb			0	0
Silver	0	1	1	12	11	9				0	111	att		61	80										weap	ring						staf	wand	orb			0	0
Gold	0	1	1	17	14	12				0	111	att		81	100									lgld	weap	ring						staf	wand	orb			0	0
Platinum	0	1	1	22	19	16				0	111	att		101	120									lgld	weap	ring						staf	wand	orb			0	0
Meteoric	0	1	1	27		20				0	111	att		121	150									lgld	weap	ring						staf	wand	orb			0	0
Sharp	0	1	1	5	5	3				0	112	att		10	20	dmg%	0	10	20						weap							staf	wand	orb			0	0
Fine	0	1	1	9	10	6				0	112	att		21	40	dmg%	0	21	30						weap							staf	wand	orb			0	0
Warrior's	0	1	1	15	14	11				0	112	att		41	60	dmg%	0	31	40						weap							staf	wand	orb			0	0
Soldier's	0	1	1	21	17	15				0	112	att		61	80	dmg%	0	41	50						weap							staf	wand	orb			0	0
Knight's	0	1	1	25	21	18				0	112	att		81	100	dmg%	0	51	65					dgld	weap							staf	wand	orb			0	0
Lord's	0	1	1	30	25	22				0	112	att		101	120	dmg%	0	66	80					dgld	weap							staf	wand	orb			0	0
King's	0	1	1	35		26				0	112	att		121	150	dmg%	0	81	100					dgld	weap							staf	wand	orb			0	0
Fortuitous	0	1	1	5		3				0	114	mag%		10	15										ring	amul											0	0
Glimmering	0	1	1	1	3	1				0	116	light		1	1										armo												0	0
Glowing	0	1	1	6		4				0	116	light		2	2									lyel	armo												0	0
Lizard's	0	1	1	3		2				0	118	mana		1	5										armo	ring	amul	rod				boot	glov				0	0
Snake's	0	1	1	6	9	4				0	118	mana		5	10										shld	rod	belt	ring	amul								0	0
Serpent's	0	1	1	14		10				0	118	mana		11	20										shld	rod	belt	ring	amul								0	0
Serpent's	0	1	1	37		27				0	118	mana		11	20										tors	helm	boot	glov	mele			h2h	rod				0	0
Drake's	0	1	1	20	17	15				0	118	mana		21	30									cblu	rod	ring	amul	belt									0	0
Dragon's	0	1	1	24		18				0	118	mana		31	40									cblu	rod	ring	amul	belt									0	0
Dragon's	0	1	1	52		39				0	118	mana		31	40									cblu	tors	helm	boot	glov									0	0
Wyrm's	0	1	1	30		22				0	118	mana		41	60									cblu	rod	ring	amul										0	0
Prismatic	0	1	1	27		20				0	120	res-all		15	25									lpur	amul												0	0
Prismatic	0	1	1	62		46				0	120	res-all		15	15									lpur	ring												0	0
Azure	0	1	1	5	8	3				0	121	res-cold		5	10										armo	ring	amul										0	0
Lapis	0	1	1	12		9				0	121	res-cold		11	20										armo	ring	amul										0	0
Lapis	0	1	1	35		26				0	121	res-cold		11	20										glov												0	0
Cobalt	0	1	1	18		13				0	121	res-cold		21	30										armo	ring	amul					glov					0	0
Cobalt	0	1	1	55		41				0	121	res-cold		21	30										glov												0	0
Sapphire	0	1	1	25		18				0	121	res-cold		31	50									lblu	boot	ring	amul										0	0
Crimson	0	1	1	5	8	3				0	122	res-fire		5	10										armo	ring	amul										0	0
Burgundy	0	1	1	12	25	9				0	122	res-fire		11	20										armo	ring	amul										0	0
Burgundy	0	1	1	35		26				0	122	res-fire		11	20										armo	ring	amul										0	0
Garnet	0	1	1	18		13				0	122	res-fire		21	30										armo	ring	amul					glov					0	0
Garnet	0	1	1	55		41				0	122	res-fire		21	30										glov												0	0
Ruby	0	1	1	25		18				0	122	res-fire		31	50									lred	boot	ring	amul										0	0
Ocher	0	1	1	5	8	3				0	123	res-ltng		5	10										armo	ring	amul										0	0
Tangerine	0	1	1	12	25	9				0	123	res-ltng		11	20										armo	ring	amul										0	0
Tangerine	0	1	1	35		26				0	123	res-ltng		11	20										armo	ring	amul										0	0
Coral	0	1	1	18		13				0	123	res-ltng		21	30										armo	ring	amul										0	0
Coral	0	1	1	55		41				0	123	res-ltng		21	30										glov												0	0
Amber	0	1	1	25		18				0	123	res-ltng		31	50									lyel	armo	ring	amul					shld	glov				0	0
Beryl	0	1	1	5	8	3				0	124	res-pois		5	10										armo	ring	amul										0	0
Jade	0	1	1	12	25	9				0	124	res-pois		11	20										armo	ring	amul										0	0
Jade	0	1	1	35		26				0	124	res-pois		11	20										ring												0	0
Viridian	0	1	1	18		13				0	124	res-pois		21	30										tors	helm	shld	ring	amul								0	0
Viridian	0	1	1	55		41				0	124	res-pois		21	30										boot	glov	belt										0	0
Emerald	0	1	1	25		18				0	124	res-pois		31	50									lgrn	ring	amul											0	0
Fletcher's	0	1	1	30		22				0	125	ama		1	1										miss	amul											0	0
Archer's	0	1	1	40		30				0	125	ama		2	2									cgrn	miss												0	0
Archer's	0	1	1	90		67				0	125	ama		2	2									cgrn	amul												0	0
Monk's	0	1	1	30		22				0	126	pal		1	1										scep	amul											0	0
Priest's	0	1	1	40		30				0	126	pal		2	2									cgrn	scep												0	0
Priest's	0	1	1	90		67				0	126	pal		2	2									cgrn	amul												0	0
Summoner's	0	1	1	30		22				0	127	nec		1	1										wand	amul											0	0
Necromancer's	0	1	1	40		30				0	127	nec		2	2									cgrn	wand												0	0
Necromancer's	0	1	1	90		67				0	127	nec		2	2									cgrn	amul												0	0
Angel's	0	1	1	30		22				0	128	sor		1	1										staf	amul											0	0
Arch-Angel's	0	1	1	40		30				0	128	sor		2	2									cgrn	staf												0	0
Arch-Angel's	0	1	1	90		67				0	128	sor		2	2									cgrn	amul												0	0
Slayer's	0	1	1	30		22				0	129	bar		1	1										mele	amul						rod	h2h				0	0
Berserker's	0	1	1	40		30				0	129	bar		2	2									cgrn	mele							rod	h2h				0	0
Berserker's	0	1	1	90		67				0	129	bar		2	2									cgrn	amul												0	0
Triumphant	0	1	1	3		2				0	132	mana-kill		1	1										mele	ring											0	0
Expansion			1																																		0	0
Blanched	100	1	1	1	11	1				4	101	ac		5	8									whit	jewl												0	0
Eburin	100	1	1	16	23	12				4	101	ac		9	20									whit	jewl												0	0
Bone	100	1	1	32	55	24				4	101	ac		21	40									whit	jewl												0	0
Ivory	100	1	1	64		56				4	101	ac		41	64									whit	jewl												0	0
Sturdy	1	1	1	1	2	1				9	101	ac%		10	20										armo												0	0
Sturdy	1	1	1	4	5	3				9	101	ac%		21	30										armo												0	0
Strong	1	1	1	9	13	6				8	101	ac%		31	40										armo												0	0
Glorious	1	1	1	19	17	14				8	101	ac%		41	50										armo												0	0
Blessed	1	1	1	25	22	18				7	101	ac%		51	65										armo												0	0
Saintly	1	1	1	31	26	23				7	101	ac%		66	80									dgld	armo												0	0
Holy	1	1	1	36	37	27				6	101	ac%		81	100									dgld	armo												0	0
Godly	100	1	1	45		38				3	101	ac%		101	200									dgld	armo												0	0
Scarlet	100	1	1	8	29	6				4	103	dmg-min		1	4									dred	jewl	misl											0	0
Crimson	100	1	1	38		30				4	103	dmg-min		5	8									dred	jewl	misl											0	0
Carbuncle	100	1	1	12	26	9				4	104	dmg-max		1	5									dred	jewl	misl											0	0
Carmine	100	1	1	35	49	27				4	104	dmg-max		6	9									dred	jewl	misl											0	0
Vermillion	100	1	1	58		50				4	104	dmg-max		11	15									dred	jewl	misl											0	0
Jagged	1	1	1	1	2	1				9	105	dmg%		10	20										weap	misl	circ					staf	wand	orb			0	0
Deadly	1	1	1	5		3				9	105	dmg%		21	30										weap	misl	circ					staf	wand	orb			0	0
Vicious	1	1	1	8	9	6				8	105	dmg%		31	40										weap	misl						staf	wand	orb			0	0
Brutal	1	1	1	14	14	10				8	105	dmg%		41	50										weap	misl						staf	wand	orb			0	0
Massive	1	1	1	20		15				7	105	dmg%		51	65									dgld	weap	misl						staf	wand	orb			0	0
