Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	12	184	294	12	216	346	16	216	432	16	216	432	14	214	1660	14	214	2214	4	6	8	4	6	8	60	156	234	60	156	234
2	24	204	324	24	240	380	24	252	508	24	252	508	18	226	1704	18	226	2272	6	8	12	6	8	12	80	208	312	80	208	312
3	36	224	354	36	264	416	36	288	584	36	288	584	24	240	1750	24	240	2334	6	8	12	6	8	12	100	262	394	100	262	394
4	48	244	384	48	288	452	52	324	660	52	324	660	30	250	1794	30	250	2392	8	10	14	8	10	14	120	312	468	120	312	468
5	60	266	414	60	312	486	70	360	736	70	360	736	34	264	1840	34	264	2454	8	10	14	8	10	14	140	364	546	140	364	546
6	72	286	444	72	336	522	90	396	812	90	396	812	40	278	1884	40	278	2512	10	14	18	10	14	18	160	414	622	160	414	622
7	84	306	472	84	360	556	112	432	888	112	432	888	46	290	1930	46	290	2574	10	14	18	10	14	18	180	468	702	180	468	702
8	96	326	504	96	384	592	134	468	964	134	468	964	54	304	1974	54	304	2632	12	16	22	12	16	22	200	520	780	200	520	780
9	108	346	534	108	408	628	156	504	1040	156	504	1040	62	314	2020	62	314	2694	14	18	26	14	18	26	220	570	856	220	570	856
10	120	368	562	120	432	662	178	540	1116	178	540	1116	70	328	2064	70	328	2752	14	18	26	14	18	26	240	624	936	240	624	936
11	132	388	594	132	456	698	200	576	1192	200	576	1192	72	342	2110	72	342	2814	16	22	30	16	22	30	260	676	1014	260	676	1014
12	144	408	622	144	480	732	222	612	1268	222	612	1268	80	354	2154	80	354	2872	16	22	30	16	22	30	280	726	1090	280	726	1090
13	156	428	652	156	504	768	244	648	1344	244	648	1344	88	368	2200	88	368	2934	18	24	34	18	24	34	308	802	1204	308	802	1204
14	168	448	684	168	528	804	266	684	1420	266	684	1420	96	378	2244	96	378	2992	20	26	38	20	26	38	338	880	1320	338	880	1320
15	180	470	712	180	552	838	288	720	1496	288	720	1496	104	392	2290	104	392	3054	20	26	38	20	26	38	372	964	1446	372	964	1446
16	192	490	742	192	576	874	310	756	1572	310	756	1572	112	406	2334	112	406	3112	22	30	40	22	30	40	410	1066	1600	410	1066	1600
17	204	510	772	204	600	908	332	792	1648	332	792	1648	120	418	2380	120	418	3174	22	30	40	22	30	40	450	1168	1752	450	1168	1752
18	216	530	802	216	624	944	354	828	1724	354	828	1724	128	432	2424	128	432	3232	24	32	44	24	32	44	496	1288	1932	496	1288	1932
19	228	550	834	228	648	980	376	864	1800	376	864	1800	136	442	2470	136	442	3294	26	34	48	26	34	48	546	1416	2124	546	1416	2124
20	240	572	862	240	672	1014	398	900	1876	398	900	1876	146	456	2514	146	456	3352	26	34	48	26	34	48	600	1558	2338	600	1558	2338
21	252	592	892	252	696	1050	420	936	1952	420	936	1952	156	472	2560	156	472	3414	28	38	52	28	38	52	660	1714	2572	660	1714	2572
22	264	612	922	264	720	1084	442	972	2028	442	972	2028	168	486	2604	168	486	3472	28	38	52	28	38	52	726	1884	2826	726	1884	2826
23	276	632	952	276	744	1120	464	1008	2104	464	1008	2104	178	496	2650	178	496	3534	30	40	56	30	40	56	798	2070	3106	798	2070	3106
24	288	652	982	288	768	1156	486	1044	2180	486	1044	2180	188	510	2694	188	510	3592	32	42	60	32	42	60	878	2278	3418	878	2278	3418
25	300	674	1012	300	792	1190	508	1080	2256	508	1080	2256	200	522	2740	200	522	3654	32	42	60	32	42	60	940	2440	3660	940	2440	3660
26	312	694	1042	312	816	1226	530	1116	2332	530	1116	2332	212	536	2784	212	536	3712	34	46	62	34	46	62	1006	2610	3916	1006	2610	3916
27	324	714	1072	324	840	1260	552	1152	2408	552	1152	2408	226	550	2830	226	550	3774	34	46	62	34	46	62	1076	2794	4192	1076	2794	4192
28	336	734	1102	336	864	1296	574	1188	2484	574	1188	2484	240	560	2874	240	560	3832	36	48	66	36	48	66	1152	2988	4482	1152	2988	4482
29	348	754	1132	348	888	1332	596	1224	2560	596	1224	2560	252	574	2920	252	574	3894	38	50	70	38	50	70	1232	3196	4794	1232	3196	4794
30	360	776	1162	360	912	1366	618	1260	2636	618	1260	2636	268	640	2964	268	640	3952	38	50	70	38	50	70	1318	3418	5128	1318	3418	5128
31	372	796	1192	372	936	1402	640	1296	2712	640	1296	2712	284	710	3010	284	710	4014	40	54	74	40	54	74	1412	3664	5496	1412	3664	5496
32	384	816	1220	384	960	1436	662	1332	2788	662	1332	2788	300	776	3054	300	776	4072	40	54	74	40	54	74	1510	3916	5874	1510	3916	5874
33	396	836	1252	396	984	1472	684	1368	2864	684	1368	2864	316	846	3100	316	846	4134	42	56	78	42	56	78	1616	4194	6292	1616	4194	6292
34	408	856	1282	408	1008	1508	706	1404	2940	706	1404	2940	332	912	3144	332	912	4192	44	58	82	44	58	82	1728	4482	6724	1728	4482	6724
35	420	878	1310	420	1032	1542	728	1440	3016	728	1440	3016	348	982	3190	348	982	4254	44	58	82	44	58	82	1850	4798	7198	1850	4798	7198
